station_number,station_id,stationName,distFromFristStation,metroLine,Opened,Layout,Latitude,Longitude
202,10,RK Puram,15.4,Magenta line,2018-05-29,Underground,28.5514261,77.1847012
203,11,IIT Delhi,16.3,Magenta line,2018-05-29,Underground,28.544788,77.18987
204,12,Hauz Khas [Conn: Yellow],17.5,Magenta line,2018-05-29,Underground,28.5442564,77.2067072
205,13,Panchsheel Park,19,Magenta line,2018-05-29,Underground,28.5433525,77.2140757
206,14,Chirag Delhi,19.9,Magenta line,2018-05-29,Underground,28.5381411,77.2280694
207,15,Greater Kailash,20.8,Magenta line,2018-05-29,Underground,28.5418777,77.2384553
208,16,Nehru Enclave,22.1,Magenta line,2018-05-29,Underground,28.5460584,77.2515057
209,17,Kalkaji Mandir [Conn: Violet],23,Magenta line,2017-12-25,Underground,28.5497752,77.2606671
210,18,Okhla NSIC,23.8,Magenta line,2017-12-25,Elevated,28.5544828,77.2648487
211,19,Sukhdev Vihar,24.9,Magenta line,2017-12-25,Elevated,28.5597477,77.2749004
212,20,JAMIA MILLIA ISLAMIA,26.1,Magenta line,2017-12-25,Elevated,28.55849025,77.28116474
213,21,Okhla Vihar,26.6,Magenta line,2017-12-25,Elevated,28.5613002,77.2919304
214,22,Jasola Vihar Shaheen Bagh,28.4,Magenta line,2017-12-25,Elevated,28.5458279,77.2966578
215,23,Kalindi Kunj,29.8,Magenta line,2017-12-25,Elevated,28.5452187,77.3059891
216,24,Okhla Bird Sanctuary,31.4,Magenta line,2017-12-25,Elevated,28.5529418,77.321595
217,25,Botanical Garden [Conn: Blue],33.1,Magenta line,2017-12-25,Elevated,28.5638964,77.334332
218,1,Majlis Park,0,Pink line,2018-03-14,Elevated,28.7244312,77.181964
219,2,Azadpur [Conn: Yellow],2.1,Pink line,2018-03-14,Underground,28.7076568,77.1755473
220,3,Shalimar Bagh,3.7,Pink line,2018-03-14,Underground,28.71745265,77.15086655
221,4,Netaji Subash Place [Conn: Red],5.1,Pink line,2018-03-14,Underground,28.69605175,77.15264042
222,5,Shakurpur,6.3,Pink line,2018-03-14,Elevated,28.6857668,77.1496094
223,6,Punjabi Bagh West,7.7,Pink line,2018-03-14,Elevated,28.6703201,77.1420875
224,7,ESI BASAI DARAPUR,10.2,Pink line,2018-03-14,Elevated,28.6580737,77.1272678
225,8,Rajouri Garden [Conn: Blue],11.3,Pink line,2018-03-14,Elevated,28.6421518,77.11606038
226,9,Maya Puri,12.8,Pink line,2018-03-14,Elevated,28.6371795,77.1297333
